user_id,skill_id,correct,time
U161500,K538224,1,1553443200
U178374,K538224,1,1553443200
U194477,K538224,1,1553443200
U158261,K538224,1,1553443200
U184225,K538436,1,1553443200
U228798,K538370,1,1553443200
U189666,K538370,1,1553443200
U224161,K538370,1,1553443200
U173374,K538370,1,1553443200
U228833,K538370,1,1553443200
U220012,K538370,1,1553443200
U151954,K538370,1,1553443200
U227082,K538370,1,1553443200
U211614,K538370,1,1553443200
U227407,K538370,1,1553443200
U220942,K538370,1,1553443200
U226070,K538370,1,1553443200
U197234,K538370,1,1553443200
U222401,K538279,1,1553443200
U222401,K538457,1,1553443200
U183010,K538279,0,1553443200
U183010,K538457,0,1553443200
U172927,K538328,1,1553443200
U155521,K538328,1,1553443200
